Extensive Reading Foundation Graded Reader List																											
Black Cat - Cideb					Level Info					Word count / Length				M-Reader		Genre & Audience			Publication Data								Further Information
ERF code		Title ERF Language Learner Literature Awards: LLLA Winners in Red, Finalists in Blue	Author(s)	Series	Publisher  level	Headwords	ERF level (E) Early (M) Mid (H) High	Common European Framework CEF level	Yomi- yasusa level (YL) Average	Word count  (body only)	Additional material wordcount	Actual or Estimated count?	Book length (Pages)	Quiz  Avaliable? (Y)es, (N)o,  (S)oon	MReader Reading Level [RL]	Fiction (F) Nonfiction (NF)	Genre mystery, adventure, love, horror, etc.	Target age group: children, teen, adult, etc.	ISBN A (without CD/CD-ROM)	ISBN B (with CD/CD-ROM)	ISBN C (Audio Book)	ISBN D (?)	ISBN E (?)	Copyright  Year	Year First Published	In print?	Notes on publishing history, awards, special features, etc.
BCT4	Black Cat - Cideb	Washington Square	Henry James, Adapted by Gina D. B. Clemen	Black Cat Reading and Training	Step 4		Upper Int. (H)	B2	4.5-5.5	14,700 		E		Y	7	F	Love			978-88-530-0133-7						Y	
BCT4	Black Cat - Cideb	Wicked and Humorous Tales	Saki, Adapted by Kenneth Brodey	Black Cat Reading and Training	Step 4		Upper Int. (H)	B2	4.5-5.5	8,291 		A	128	S	7	F	Humor & comedy			978-88-530-0140-5						Y	
BCT4	Black Cat - Cideb	Woman in White (The)	Wilkie Collins, Adapted by Christopher Hall	Black Cat Reading and Training	Step 4		Upper Int. (H)	B2	4.5-5.5	11,983 		A	112	S	7	F	Mystery & horror			978-88-530-0483-3						Y	
BCT5	Black Cat - Cideb	Age of Innocence (The)	Edith Wharton, Adapted by Christopher Hall	Black Cat Reading and Training	Step 5		Advanced (E)	B2	4.5-5.5					N	7	F	Love			978-88-530-0554-0						Y	
BCT5	Black Cat - Cideb	Board Games		Black Cat Reading and Training	Step 5		Advanced (E)	B2	4.5-5.5	11,000 		A		N	7	NF			9788877545602	8877545607						N	Not in catalog
BCT5	Black Cat - Cideb	Emma	Jane Austen, Adapted by Derek Sellen	Black Cat Reading and Training	Step 5		Advanced (E)	B2	4.5-5.5	11,816 		A	128	Y	7	F	Love			978-88-530-0801-5						Y	
BCT5	Black Cat - Cideb	Frankenstein	Mary Shelley, Adapted by Maud Jackson	Black Cat Reading and Training	Step 5		Advanced (E)	B2	4.5-5.5	14,586 		A	144	S	7	F	Mystery & horror			978-88-530-0837-4						Y	
BCT5	Black Cat - Cideb	Gothic Short Stories	W. W. Jacobs, Amelia B. Edwards, Bram Stoker, Edgar Allan Poe, Adapted by Peter Foreman	Black Cat Reading and Training	Step 5		Advanced (E)	B2	4.5-5.5	11442		A	128	S	7	F	Mystery & horror			978-88-530-0176-4						Y	
BCT5	Black Cat - Cideb	Grapes of Wrath (The)	John Steinbeck	Black Cat Reading and Training	Step 5		Advanced (E)	B2	4.5-5.5	11,800 		A		N	7	F										N	Not in catalog
BCT5	Black Cat - Cideb	Great Expectations	Charles Dickens, Adapted by Rebecca Raynes	Black Cat Reading and Training	Step 5		Advanced (E)	B2	4.5-5.5	15,315 		A	160	S	7	F	Human interest		978-88-7754-601-2	978-88-530-1211-1						Y	
BCT5	Black Cat - Cideb	Great Gatsby (The)	F. Scott Fitzgerald, Adapted by Gina D. B. Clemen	Black Cat Reading and Training	Step 5		Advanced (E)	B2	4.5-5.5	17694		A	160	S	7	F	Love			978-88-530-0788-9						Y	
BCT5	Black Cat - Cideb	Heart of Darkness	Joseph Conrad, Adapted by James Butler	Black Cat Reading and Training	Step 5		Advanced (E)	B2	4.5-5.5	8,591 		A	112	S	7	F	Human interest			978-88-530-0558-8						Y	
BCT5	Black Cat - Cideb	Jane Eyre	Charlotte Brönte, Adapted by Kenneth Brodey	Black Cat Reading and Training	Step 5		Advanced (E)	B2	4.5-5.5	19805		A	160	S	7	F	Love			978-88-530-0776-6						Y	
BCT5	Black Cat - Cideb	Lord Jim	Joseph Conrad, Adapted by Gina D. B. Clemen	Black Cat Reading and Training	Step 5		Advanced (E)	B2	4.5-5.5					N	7	F	Adventure			978-88-530-0605-9						Y	
BCT5	Black Cat - Cideb	Middlemarch	George Eliot	Black Cat Reading and Training	Step 5		Advanced (E)	B2	4.5-5.5	21,900 		E		N	7	F										N	Not in catalog
BCT5	Black Cat - Cideb	Murders in the Rue Morgue and The Purloined Letter (The)	Edgar Allan Poe, Adapted by Graeme and Silvia Thomson	Black Cat Reading and Training	Step 5		Advanced (E)	B2	4.5-5.5	10,376 		A	112	Y	7	F	Crime			978-88-530-0766-7						Y	
BCT5	Black Cat - Cideb	Pamela	Samuel Richardson, Adapted by Nancy Timmins	Black Cat Reading and Training	Step 5		Advanced (E)	B2	4.5-5.5	15,452 		A	144	S	7	F	Human interest			978-88-530-0333-1						Y	
BCT5	Black Cat - Cideb	Passage to India (A)	E. M. Forster, Adapted by Maud Jackson	Black Cat Reading and Training	Step 5		Advanced (E)	B2	4.5-5.5	15,482 		A	160	S	7	F	Human interest			978-88-7754-925-9						Y	
BCT5	Black Cat - Cideb	Persuasion	Jane Austen, Adapted by Christopher Hall	Black Cat Reading and Training	Step 5		Advanced (E)	B2	4.5-5.5	14,000 		E		S	7	F	Love			978-88-530-0552-6						Y	
BCT5	Black Cat - Cideb	Picture of Dorian Gray (The)	Oscar Wilde, Adapted by Gina D. B. Clemen	Black Cat Reading and Training	Step 5		Advanced (E)	B2	4.5-5.5	12,946 		A	144	S	7	F	Mystery & horror			978-88-530-0548-9						Y	
BCT5	Black Cat - Cideb	Portrait of a Lady (The)	Henry James, Adapted by Blanche Malvern	Black Cat Reading and Training	Step 5		Advanced (E)	B2	4.5-5.5	15,000 		A		S	7	F	Human interest			978-88-530-0168-9						Y	
BCT5	Black Cat - Cideb	Pride and Prejudice	Jane Austen, Adapted by Andrea Shell	Black Cat Reading and Training	Step 5		Advanced (E)	B2	4.5-5.5	18,692 		A	160	Y	8	F	Love		978-88-530-0135-1	978-88-530-0778-0						Y	
BCT5	Black Cat - Cideb	Problem of Cell 13 (The)	Jacques Futrelle, Adapted by Graeme	Black Cat Reading and Training	Step 5		Advanced (E)	B2	4.5-5.5	8,422 		A	96	Y	8	F	Mystery & horror			978-88-7754-759-0						Y	
BCT5	Black Cat - Cideb	Robinson Crusoe	Daniel Defoe, Adapted by Maud Jackson	Black Cat Reading and Training	Step 5		Advanced (E)	B2	4.5-5.5	13,683 		A	144	Y	8	F	Adventure			978-88-530-0841-1						Y	
BCT5	Black Cat - Cideb	Room with a View, A	E. M. Forster, Adapted by Maud Jackson	Black Cat Reading and Training	Step 5		Advanced (E)	B2	4.5-5.5					N		F	Human interest		978-88-530-0072-9							N	Not in catalog
BCT5	Black Cat - Cideb	Scarlet Letter (The)	Nathaniel Hawthorne, Adapted by Gina D. B. Clemen	Black Cat Reading and Training	Step 5		Advanced (E)	B2	4.5-5.5	13,026 		A	160	Y		F	Love			978-88-530-0090-3						Y	
BCT5	Black Cat - Cideb	Sense and Sensibility	Jane Austen, Adapted by Blanche Malvern	Black Cat Reading and Training	Step 5		Advanced (E)	B2	4.5-5.5	17,179 		A	128	S		F	Love			978-88-530-0387-4						Y	
BCT5	Black Cat - Cideb	Sons and Lovers	D. H. Lawrence, Adapted by Blanche Malvern	Black Cat Reading and Training	Step 5		Advanced (E)	B2	4.5-5.5	15,247 		A	144	S		F	Love			978-88-530-0170-2						Y	
BCT5	Black Cat - Cideb	Tale of Two Cities (A)	Charles Dickens, Adapted by James Butler	Black Cat Reading and Training	Step 5		Advanced (E)	B2	4.5-5.5	14,045 		A	160	Y		F	Adventure			978-88-530-0805-3						Y	
BCT5	Black Cat - Cideb	Taming of the Shrew (The)	William Shakespeare, Adapted by James Butler	Black Cat Reading and Training	Step 5		Advanced (E)	B2	4.5-5.5	13,467 		A	128	S		F	Humor & comedy			978-88-7754-608-1						Y	
BCT5	Black Cat - Cideb	Tess of the D'Urbervilles	Thomas Hardy, Adapted by Maud Jackson	Black Cat Reading and Training	Step 5		Advanced (E)	B2	4.5-5.5	19,754 		A	160	Y		F	Love			978-88-7754-932-7						Y	
BCT5	Black Cat - Cideb	Vanity Fair	William Makepeace Thackeray, Adapted by James Butler	Black Cat Reading and Training	Step 5		Advanced (E)	B2	4.5-5.5	12,065 		A	144	S		F	Human interest			978-88-7754-933-4						Y	
BCT5	Black Cat - Cideb	Wuthering Heights	Emily Brontë, Adapted by Maud Jackson	Black Cat Reading and Training	Step 5		Advanced (E)	B2	4.5-5.5	21,203 		A	144	S		F	Love			978-88-530-0324-9							
BCT5	Black Cat - Cideb	X-Files, The: Squeeze		Black Cat Reading and Training	Step 5		Advanced (E)	B2	4.5-5.5	8,200 		A		N		F			9788877547811	8877547812						Y	Not in Catalog
BCT6	Black Cat - Cideb	Mill on the Floss (The)	George Eliot, Adapted by Maud Jackson	Black Cat Reading and Training	Step 6		Advanced (M)	C1	5.5-6.5	31,231 		A	160	S		F	Love			978-88-7754-798-9						Y	
BCT6	Black Cat - Cideb	Silas Marner	George Eliot, Adapted by Maud Jackson	Black Cat Reading and Training	Step 6		Advanced (M)	C1	5.5-6.5	12,485 		A	112	S		F	Human interest			978-88-7754-934-1						Y	
BCT6	Black Cat - Cideb	Wuthering Heights	Emily Brontë, Adapted by Maud Jackson	Black Cat Reading and Training	Step 6		Advanced (M)	C1	5.5-6.5	24,852 		A	144	S		F	Love			978-88-530-0568-7						Y	
BCT1D	Black Cat - Cideb	Great British Writers	Derek Sellen	Black Cat Reading and Training Discovery	Step 1		Elementary (H)	A2		12091		A	96	Y		NF				978-88-530-0952-4						Y	
BCT1D	Black Cat - Cideb	London	Gina D. B. Clemen	Black Cat Reading and Training Discovery	Step 1		Elementary (H)	A2		6631		A	96	Y		NF				978-88-530-1021-6						Y	
BCT2D	Black Cat - Cideb	British Isles, The	Derek Sellen	Black Cat Reading and Training Discovery	Step 1		Elementary (H)	A2		10912		A	96	S		NF				978-88-530-1098-8							
BCT2D	Black Cat - Cideb	English-speaking World, The	Janet Cameron	Black Cat Reading and Training Discovery	Step 1		Elementary (H)	A2		10730		A	96	S		NF				978-88-530-1212-8							
BCT2	Black Cat - Cideb	Exploring Places	Gina D. B. Clemen	Black Cat Reading and Training Discovery	Step 2		Intermediate (M)	B1		8382		A	96	N		NF				978-88-530-0812-1						Y	
BCT2	Black Cat - Cideb	Natural Environments	Joanna Burgess	Black Cat Reading and Training Discovery	Step 2		Intermediate (M)	B1		12210		A	96	Y		NF				978-88-530-0994-4						Y	
BCT3	Black Cat - Cideb	American Cities	Gina D. B. Clemen	Black Cat Reading and Training Discovery	Step 3		Upper Int. (E)	B1		11084		A	112	Y		NF				978-88-530-0996-8						Y	
BCT2P	Black Cat - Cideb	Business Communication	Michael Black	Black Cat Reading and Training Professional	Step 2		Intermediate (M)	B1						N		NF				978-88-530-0932-6						Y	
BCT3P	Black Cat - Cideb	Business Issues	Michael Black	Black Cat Reading and Training Professional	Step 3		Upper Int. (E)	B1						N		NF				978-88-530-0934-0						Y	
BCT4P	Black Cat - Cideb	Business Environment	Michael Black	Black Cat Reading and Training Professional	Step 4		Upper Int. (H)	B2						N		NF				978-88-530-0936-4						Y	
BCRC	Black Cat - Cideb	Brave New World	Aldous Huxley	Black Cat Reading Classics	Upper Intermed. & Above	Ungraded	Advanced (M-H)	C1/C2						N		F				978-88-7754-266-3						Y	
BCRC	Black Cat - Cideb	Christmas Carol, A	Charles Dickens	Black Cat Reading Classics	Upper Intermed. & Above	Ungraded	Advanced (M-H)	C1/C2						N		F				978-88-7754-283-0						Y	
BCRC		Detective Stories 	Arthur Conan Doyle et al.	Black Cat Reading Classics	Upper Intermed. & Above	Ungraded	Advanced (M-H)	C1/C2								F				978-88-775-4847-4							
BCRC	Black Cat - Cideb	Dubliners	James Joyce	Black Cat Reading Classics	Upper Intermed. & Above	Ungraded	Advanced (M-H)	C1/C2						N		F				978-88-7754-231-1						Y	
BCRC	Black Cat - Cideb	Empire Tales	Rudyard Kipling et al.	Black Cat Reading Classics	Upper Intermed. & Above	Ungraded	Advanced (M-H)	C1/C2						N		F				978-88-7754-296-0						Y	
BCRC	Black Cat - Cideb	Four Continents	Gordimer, Achebe et al.	Black Cat Reading Classics	Upper Intermed. & Above	Ungraded	Advanced (M-H)	C1/C2						N		F				978-88-7754-328-8						Y	
BCRC	Black Cat - Cideb	Frankenstein	Mary Shelley	Black Cat Reading Classics	Upper Intermed. & Above	Ungraded	Advanced (M-H)	C1/C2						N		F				978-88-7754-120-8						Y	
BCRC	Black Cat - Cideb	Great Gatsby, The	F. Scott Fitzgerald	Black Cat Reading Classics	Upper Intermed. & Above	Ungraded	Advanced (M-H)	C1/C2						N		F				978-88-7754-135-2						Y	
BCRC	Black Cat - Cideb	Heart of Darkness	Joseph Conrad	Black Cat Reading Classics	Upper Intermed. & Above	Ungraded	Advanced (M-H)	C1/C2						N		F				978-88-7754-261-8						Y	
BCRC	Black Cat - Cideb	Look Back in Anger	John Osborne	Black Cat Reading Classics	Upper Intermed. & Above	Ungraded	Advanced (M-H)	C1/C2						N		F				978-88-7754-133-8						Y	
BCRC	Black Cat - Cideb	Mrs Dalloway	Virginia Woolf	Black Cat Reading Classics	Upper Intermed. & Above	Ungraded	Advanced (M-H)	C1/C2						N		F				978-88-7754-073-7						Y	
BCRC	Black Cat - Cideb	Passage to India, A	E. M. Forster	Black Cat Reading Classics	Upper Intermed. & Above	Ungraded	Advanced (M-H)	C1/C2						N		F				978-88-7754-131-4						Y	
BCRC	Black Cat - Cideb	Picture of Dorian Gray. The	Oscar Wilde	Black Cat Reading Classics	Upper Intermed. & Above	Ungraded	Advanced (M-H)	C1/C2						N		F				978-88-7754-132-1						Y	
BCRC	Black Cat - Cideb	Room with a View, A	E. M. Forster	Black Cat Reading Classics	Upper Intermed. & Above	Ungraded	Advanced (M-H)	C1/C2						N		F				978-88-7754-124-6						Y	
BCRC	Black Cat - Cideb	Selection from Dubliners (A)	James Joyce	Black Cat Reading Classics	Upper Intermed. & Above	Ungraded	Advanced (M-H)	C1/C2						N		F				978-88-7754-232-8						Y	
BCRC	Black Cat - Cideb	Seven Short Stories	Katherine Mansfield	Black Cat Reading Classics	Upper Intermed. & Above	Ungraded	Advanced (M-H)	C1/C2						N		F				978-88-7754-220-5						Y	
BCRC	Black Cat - Cideb	Short Stories	Dickens, Stevenson et al.	Black Cat Reading Classics	Upper Intermed. & Above	Ungraded	Advanced (M-H)	C1/C2						N		F				978-88-7754-937-2						Y	
BCRC	Black Cat - Cideb	Short Stories	Oscar Wilde	Black Cat Reading Classics	Upper Intermed. & Above	Ungraded	Advanced (M-H)	C1/C2						N		F				978-88-7754-153-6						Y	
BCRC	Black Cat - Cideb	Strange Case of Dr Jekyll and Mr Hyde and Other Stories, The	Robert Louis Stevenson	Black Cat Reading Classics	Upper Intermed. & Above	Ungraded	Advanced (M-H)	C1/C2						N		F				978-88-7754-075-1						Y	
BCRC	Black Cat - Cideb	The Importance of Being Earnest	Oscar Wilde	Black Cat Reading Classics	Upper Intermed. & Above	Ungraded	Advanced (M-H)	C1/C2						N		F				978-88-7754-126-0						Y	
BCRC	Black Cat - Cideb	Turn of the Screw, The	Henry James	Black Cat Reading Classics	Upper Intermed. & Above	Ungraded	Advanced (M-H)	C1/C2						N		F				978-88-7754-125-3						Y	
BCRC	Black Cat - Cideb	Waiting for Godot	Samuel Beckett	Black Cat Reading Classics	Upper Intermed. & Above	Ungraded	Advanced (M-H)	C1/C2						N		F				978-88-7754-418-6						Y	
BCIL	Black Cat - Cideb	Amazing Characters	Selected by Guglielmo Corrado	Black Cat Interact with Literature	Intermed. & Above	Ungraded	Advanced (E-M)	B2/C1						N		F				978-88-7754-375-2						Y	
BCIL	Black Cat - Cideb	Bonds of Love: Web of Themes	Guglielmo Corrado, Laura Stagno	Black Cat Interact with Literature	Intermed. & Above	Ungraded	Advanced (E-M)	B2/C1						N		F				978-88-7754-547-3						Y	
BCIL	Black Cat - Cideb	Ideal Husband, An	Oscar Wilde	Black Cat Interact with Literature	Intermed. & Above	Ungraded	Advanced (E-M)	B2/C1						N		F				978-88-7754-404-9						Y	
BCIL	Black Cat - Cideb	Importance of Being Earnest	Oscar Wilde	Black Cat Interact with Literature	Intermed. & Above	Ungraded	Advanced (E-M)	B2/C1						N		F				978-88-530-0537-3						Y	
BCIL	Black Cat - Cideb	Mind the Characters: A collection of very short stories and modern fables	Selected by Guglielmo Corrado	Black Cat Interact with Literature	Intermed. & Above	Ungraded	Advanced (E-M)	B2/C1						N		F				978-88-530-0654-7						Y	
BCIL	Black Cat - Cideb	Relationships	Selected by Antonella Mignani	Black Cat Interact with Literature	Intermed. & Above	Ungraded	Advanced (E-M)	B2/C1						N		F				978-88-7754-223-6						Y	
BCIL	Black Cat - Cideb	Splintering Frame, The	Selected by Antonella Mignani	Black Cat Interact with Literature	Intermed. & Above	Ungraded	Advanced (E-M)	B2/C1						N		F				978-88-7754-336-3						Y	
BCIL	Black Cat - Cideb	Sweet and Sour: A collection of stories for pleasure and learning	Selected by Antonella Mignani	Black Cat Interact with Literature	Intermed. & Above	Ungraded	Advanced (E-M)	B2/C1						N		F				978-88-7754-541-1						Y	
BCIL	Black Cat - Cideb	Tales to Talk About: A collection of topics to analyse and discuss	Selected by Antonella Mignani	Black Cat Interact with Literature	Intermed. & Above	Ungraded	Advanced (E-M)	B2/C1						N		F				978-88-7754-936-5						Y	
BCIL	Black Cat - Cideb	Ten Women Ten Stories: A task-based approach to the analysis of short stories	Selected by Antonella Mignani	Black Cat Interact with Literature	Intermed. & Above	Ungraded	Advanced (E-M)	B2/C1						N		F				978-88-7754-749-1						Y	
BCIL	Black Cat - Cideb	Voices from Inside - Accessing the Literary Text: A Skills-Based Approach	Selected by Guglielmo Corrado	Black Cat Interact with Literature	Intermed. & Above	Ungraded	Advanced (E-M)	B2/C1						N		F				978-88-7754-750-7						Y	
BCIL	Black Cat - Cideb	World of Difference, A: Selected Short Stories by British and American Writers	Selected by Gabriella Bonavoglia	Black Cat Interact with Literature	Intermed. & Above	Ungraded	Advanced (E-M)	B2/C1						N		F				978-88-7754-268-7						Y	
